group,axis,value,description
Network traffic analysis ,heavy tailed,100,440.0
Network traffic analysis ,recon gurable,100,440.0
Network traffic analysis ,traffic characteristics,80,352.0
Network traffic analysis ,traf,49.318181818182,217.0
Network traffic analysis ,traces,30.454545454545,134.0
Network traffic analysis ,traffic,19.772727272727,87.0
Network traffic analysis ,tcp,18.409090909091,81.0
Network traffic analysis ,arrival,17.045454545455,75.0
Network traffic analysis ,workload,15.227272727273,67.0
Network traffic analysis ,video,14.772727272727,65.0
Network traffic analysis ,loss,11.818181818182,52.0
Network traffic analysis ,characteristics,11.590909090909,51.0
Network traffic analysis ,queue,10.909090909091,48.0
Network traffic analysis ,cache,9.0909090909091,40.0
Network traffic analysis ,fpga,8.4090909090909,37.0
Network traffic analysis ,distribution,6.5909090909091,29.0
Network traffic analysis ,server,6.5909090909091,29.0
Network traffic analysis ,servers,5.6818181818182,25.0
Network traffic analysis ,bandwidth,5.2272727272727,23.0
Network traffic analysis ,rate,4.5454545454545,20.0
Network traffic analysis ,packet,4.3181818181818,19.0
Network traffic analysis ,internet,3.4090909090909,15.0
