group,axis,value,description
Systems monitoring and failure diagnosis ,audit trails,100,440.0
Systems monitoring and failure diagnosis ,audit,12.954545454545,57.0
Systems monitoring and failure diagnosis ,auditing,12.5,55.0
Systems monitoring and failure diagnosis ,con,9.5454545454545,42.0
Systems monitoring and failure diagnosis ,sigmis,9.3181818181818,41.0
Systems monitoring and failure diagnosis ,cpr,9.0909090909091,40.0
Systems monitoring and failure diagnosis ,enterprise,6.3636363636364,28.0
Systems monitoring and failure diagnosis ,failure,5.6818181818182,25.0
Systems monitoring and failure diagnosis ,conference,4.3181818181818,19.0
Systems monitoring and failure diagnosis ,papers,3.6363636363636,16.0
Systems monitoring and failure diagnosis ,year,3.4090909090909,15.0
Systems monitoring and failure diagnosis ,monitoring,3.1818181818182,14.0
Systems monitoring and failure diagnosis ,operating,3.1818181818182,14.0
Systems monitoring and failure diagnosis ,failures,2.7272727272727,12.0
Systems monitoring and failure diagnosis ,security,2.2727272727273,10.0
Systems monitoring and failure diagnosis ,center,2.0454545454545,9.0
Systems monitoring and failure diagnosis ,component,2.0454545454545,9.0
Systems monitoring and failure diagnosis ,report,1.5909090909091,7.0
Systems monitoring and failure diagnosis ,http,1.3636363636364,6.0
Systems monitoring and failure diagnosis ,online,0.90909090909091,4.0
