group,axis,value,description
Outlier detection,outlier detection,100,1232.0
Outlier detection,oblivious routing,42.857142857143,528.0
Outlier detection,outlier,14.691558441558,181.0
Outlier detection,outliers,12.743506493506,157.0
Outlier detection,modem,5.762987012987,71.0
Outlier detection,oblivious,5.762987012987,71.0
Outlier detection,myths,4.3831168831169,54.0
Outlier detection,myth,4.1396103896104,51.0
Outlier detection,modems,3.8149350649351,47.0
Outlier detection,competitive,3.4090909090909,42.0
Outlier detection,home,2.7597402597403,34.0
Outlier detection,reuse,2.1103896103896,26.0
Outlier detection,free,1.5422077922078,19.0
Outlier detection,phone,1.3798701298701,17.0
Outlier detection,companies,1.2987012987013,16.0
Outlier detection,word,0.89285714285714,11.0
Outlier detection,detection,0.56818181818182,7.0
Outlier detection,open,0.56818181818182,7.0
Outlier detection,routing,0.56818181818182,7.0
Outlier detection,internet,0.40584415584416,5.0
Outlier detection,public,0.40584415584416,5.0
